"","Restaurant","Cuisine","Address"
"75","Luke's Lobster","Seafood, Soups, New England","93 E 7th St New York, NY, 10009"
"76","Famous Fish Market","Seafood","684 St Nicholas Ave New York, NY, 10031"
"77","Francisco's Centro Vasco","Spanish, Seafood","159 W 23rd St New York, NY, 10011"
"78","Kellari Taverna","Greek, Seafood","19 W 44th St New York, NY, 10036"
"79","Chicken House","Vietnamese, Sandwiches, Seafood, Chicken","270 W 36th St New York, NY, 10018"
"80","Maloney & Porcelli","Seafood, Steak","37 E 50th St New York, NY, 10022"
"81","Trattoria iL Gusto (Formerly Pesce & Pasta)","Italian, Seafood","625 Columbus Ave New York, NY, 10024"
"82","Blue Water Grill","American (New), Sushi, Seafood","31 Union Sq W New York, NY, 10003"
"83","Atlantic Grill East","American (New), Sushi, Seafood","1341 3rd Ave New York, NY, 10021"
"84","Flex Mussels","Seafood, Eclectic & International","154 W 13th St New York, NY, 10011"
"85","Bait & Hook","Seafood","231 2nd Ave New York, NY, 10003"
"86","Taverna Kyclades","Greek, Seafood","228 1st Ave New York, NY, 10009"
"87","212 Steakhouse","Seafood, Steak","316 E 53rd St New York, NY, 10022"
"88","Harlow","American (New), Seafood","111 E 56th St New York, NY, 10022"
"89","Avra","Greek, Mediterranean, Seafood","141 E 48th St New York, NY, 10017"
"90","Ed's Lobster Bar","Seafood, New England","222 Lafayette St New York, NY, 10012"
"91","Hurley's Saloon","Seafood, Steak, American","232 W 48th St New York, NY, 10036"
"92","Seafood King Fish Market","Seafood, Latin American","3903 Broadway #3905 New York, NY, 10032"
"93","Pee Dee Steak House","Seafood, Steak","2006 3rd Ave New York, NY, 10029"
"94","Sparks Steak House","Seafood, Steak","210 E 46th St New York, NY, 10017"
"95","The Palm Too","Seafood, Steak","840 2nd Ave New York, NY, 10017"
"96","Catch NYC","Sushi, Seafood","88 9th Ave New York, NY, 10014"
"97","Junior's Seafood","Seafood, Latin American","4235 Broadway New York, NY, 10033"
"98","Markt Restaurant","Belgian, Seafood","676 6th Ave New York, NY, 10010"
"99","CajunSea","Cajun & Creole, Seafood","32 W 33rd St New York, NY, 10001"
"100","The Clam","Seafood","420 Hudson St New York, NY, 10014"
"101","BLT Fish","Seafood","21 W 17th St New York, NY, 10011"
"102","La Gioconda","Italian, Seafood, Chicken, Pasta, Salads, Healthy","226 E 53rd St New York, NY, 10022"
"103","A Taste Of Seafood","Seafood, Soul Food","59 E 125th St New York, NY, 10035"
"104","Grey Lady","American (New), Seafood, Cocktails","77 Delancey St New York, NY, 10002"
"105","Urban Lobster Shack On Wheels","Sandwiches, Seafood","Location Varies New York, NY, 10018"
"106","Cowgirl SeaHorse","Southwestern, Mexican, Seafood","259 Front St New York, NY, 10038"
"107","Tommy Bahama","Hawaiian, Seafood, American","551 5th Ave New York, NY, 10017"
