"","X","Address","Restaurant","Food","Price","Cuisine","Latitude","Longitude","City"
"1",1,"1 Charles St Boston, MA, 02108","Ostra","U-8 Shrimp",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"2",2,"1 Charles St Boston, MA, 02108","Ostra","Crisp Snow Pea",17,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"3",3,"1 Charles St Boston, MA, 02108","Ostra","Spain's Jamon Iberico",29,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"4",4,"1 Charles St Boston, MA, 02108","Ostra","New England Coastal Fish Soup",19,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"5",5,"1 Charles St Boston, MA, 02108","Ostra","Prime Sirloin Carpaccio",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"6",6,"1 Charles St Boston, MA, 02108","Ostra","Grilled Spanish Octopus",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"7",7,"1 Charles St Boston, MA, 02108","Ostra","Crisp Calamari ""Rhode Island Style""",18,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"8",8,"1 Charles St Boston, MA, 02108","Ostra","Crisp Native Oysters",22,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"9",9,"1 Charles St Boston, MA, 02108","Ostra","Ricotta Gnocchetti",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"10",10,"1 Charles St Boston, MA, 02108","Ostra","Simple Salad",12,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"11",11,"1 Charles St Boston, MA, 02108","Ostra","Small Leaf Heirloom Kale",16,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"12",12,"1 Charles St Boston, MA, 02108","Ostra","Artisanal Cheeses",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"13",13,"1 Charles St Boston, MA, 02108","Ostra","Grilled Sea Bream in Trevisano Leaf",43,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"14",14,"1 Charles St Boston, MA, 02108","Ostra","Grilled Faroe Island Salmon",40,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"15",15,"1 Charles St Boston, MA, 02108","Ostra","Paella ""Valenciana Style""",49,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"16",16,"1 Charles St Boston, MA, 02108","Ostra","Broiled Maine Lobster",76,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"17",17,"1 Charles St Boston, MA, 02108","Ostra","Grilled Branzino Filet",41,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"18",18,"1 Charles St Boston, MA, 02108","Ostra","Grilled Filet Mignon Maitre'd Hotel",45,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"19",19,"1 Charles St Boston, MA, 02108","Ostra","Grilled Prime Sirloin Maitre'd Hotel",43,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"20",20,"1 Charles St Boston, MA, 02108","Ostra","Grilled Prime Ribeye Maitre'd Hotel",45,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"21",21,"1 Charles St Boston, MA, 02108","Ostra","Roasted All Natural Carnish Game Hen",28,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"22",22,"1 Charles St Boston, MA, 02108","Ostra","Roasted Spring Vegetables",10,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"23",23,"1 Charles St Boston, MA, 02108","Ostra","Exotic Mushrooms, Shallots, Thyme",17,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"24",24,"1 Charles St Boston, MA, 02108","Ostra","Leafy Greens, Currants and Garlic",9,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"25",25,"1 Charles St Boston, MA, 02108","Ostra","Truffle-Parmesan Fries",13,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"26",26,"1 Charles St Boston, MA, 02108","Ostra","Shishito Peppers with Sea Salt",10,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"27",27,"1 Charles St Boston, MA, 02108","Ostra","Pommes Puree",6,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"28",28,"1 Charles St Boston, MA, 02108","Ostra","Chocolate Hazelnut Cremeux",14,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"29",29,"1 Charles St Boston, MA, 02108","Ostra","Warm Chocolate Torte",16,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"30",30,"1 Charles St Boston, MA, 02108","Ostra","Snow Egg",16,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"31",31,"1 Charles St Boston, MA, 02108","Ostra","Sorbets",13,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"32",32,"1 Charles St Boston, MA, 02108","Ostra","Artisanal Cheeses",25,"American (New), Seafood",42.3564175,-71.0694344,"Boston"
"33",33,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Raw Oysters",NA,"Seafood",42.3634422,-71.0257812,"Boston"
"34",34,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Raw Littleneck Clams",10.95,"Seafood",42.3634422,-71.0257812,"Boston"
"35",35,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Raw Shellfish Sampler",13.95,"Seafood",42.3634422,-71.0257812,"Boston"
"36",36,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Blackened Raw Tuna Sashimi",14.95,"Seafood",42.3634422,-71.0257812,"Boston"
"37",37,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Jumbo Shrimp Cocktail",15.95,"Seafood",42.3634422,-71.0257812,"Boston"
"38",38,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Legal's Signature Crab Cake",16.95,"Seafood",42.3634422,-71.0257812,"Boston"
"39",39,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Crispy Point Judith Calamari",13.95,"Seafood",42.3634422,-71.0257812,"Boston"
"40",40,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","New England Fried Clams",NA,"Seafood",42.3634422,-71.0257812,"Boston"
"41",41,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Buffalo Wings",9.95,"Seafood",42.3634422,-71.0257812,"Boston"
"42",42,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Legal's Famous Clam Chowder (Mug)",6.95,"Seafood",42.3634422,-71.0257812,"Boston"
"43",43,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Lobster Bisque (Mug)",10.95,"Seafood",42.3634422,-71.0257812,"Boston"
"44",44,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Wedge Salad",9.95,"Seafood",42.3634422,-71.0257812,"Boston"
"45",45,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Classic Caesar",8.5,"Seafood",42.3634422,-71.0257812,"Boston"
"46",46,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Crab & Avocado Salad",18.5,"Seafood",42.3634422,-71.0257812,"Boston"
"47",47,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Anna's Baked Boston Cod",17.95,"Seafood",42.3634422,-71.0257812,"Boston"
"48",48,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Grilled Mediterranean Salmon",26.95,"Seafood",42.3634422,-71.0257812,"Boston"
"49",49,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Seared Sirloin",24.95,"Seafood",42.3634422,-71.0257812,"Boston"
"50",50,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Jasmine Special",16.95,"Seafood",42.3634422,-71.0257812,"Boston"
"51",51,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Legal's Signature Crab Cake Combo",30.95,"Seafood",42.3634422,-71.0257812,"Boston"
"52",52,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","HiddenFjord Faroe Island Salmon",26.95,"Seafood",42.3634422,-71.0257812,"Boston"
"53",53,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Swordfish & Shrimp Combo",22.95,"Seafood",42.3634422,-71.0257812,"Boston"
"54",54,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Marinated Chicken",21.95,"Seafood",42.3634422,-71.0257812,"Boston"
"55",55,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Shrimp",17.95,"Seafood",42.3634422,-71.0257812,"Boston"
"56",56,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Sea Scallops",NA,"Seafood",42.3634422,-71.0257812,"Boston"
"57",57,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Sea Scallops with Skewer of Shrimp",6.95,"Seafood",42.3634422,-71.0257812,"Boston"
"58",58,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Sea Scallops with Scallops",9.95,"Seafood",42.3634422,-71.0257812,"Boston"
"59",59,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Fisherman's Platter",29.95,"Seafood",42.3634422,-71.0257812,"Boston"
"60",60,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","New England Clams",NA,"Seafood",42.3634422,-71.0257812,"Boston"
"61",61,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Fish & Chips",17.95,"Seafood",42.3634422,-71.0257812,"Boston"
"62",62,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Shrimp",17.95,"Seafood",42.3634422,-71.0257812,"Boston"
"63",63,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Sea Scallops",NA,"Seafood",42.3634422,-71.0257812,"Boston"
"64",64,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Lobster Roll",NA,"Seafood",42.3634422,-71.0257812,"Boston"
"65",65,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Tuna Burger",16.95,"Seafood",42.3634422,-71.0257812,"Boston"
"66",66,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Seared Chicken Sandwich",12.95,"Seafood",42.3634422,-71.0257812,"Boston"
"67",67,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Crabmeat Roll",18.95,"Seafood",42.3634422,-71.0257812,"Boston"
"68",68,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Salmon Reuben",13.95,"Seafood",42.3634422,-71.0257812,"Boston"
"69",69,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Crispy Fish Sandwich",13.95,"Seafood",42.3634422,-71.0257812,"Boston"
"70",70,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Creekstone Burger",13.5,"Seafood",42.3634422,-71.0257812,"Boston"
"71",71,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Jasmine Rice",5.5,"Seafood",42.3634422,-71.0257812,"Boston"
"72",72,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Onion Strings",5.5,"Seafood",42.3634422,-71.0257812,"Boston"
"73",73,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Seasonal Vegetables",5.5,"Seafood",42.3634422,-71.0257812,"Boston"
"74",74,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","French Fries",5.5,"Seafood",42.3634422,-71.0257812,"Boston"
"75",75,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Orzo Salad",5.5,"Seafood",42.3634422,-71.0257812,"Boston"
"76",76,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Cole Slaw",1.95,"Seafood",42.3634422,-71.0257812,"Boston"
"77",77,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Boston Cream Pie",8.95,"Seafood",42.3634422,-71.0257812,"Boston"
"78",78,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Key Lime Pie",8.5,"Seafood",42.3634422,-71.0257812,"Boston"
"79",79,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Ice Cream",5.95,"Seafood",42.3634422,-71.0257812,"Boston"
"80",80,"1 Seaport Ln Boston, MA, 02210","Aura","Brushchetta",5.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"81",81,"1 Seaport Ln Boston, MA, 02210","Aura","Roasted Garlic",5.95,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"82",82,"1 Seaport Ln Boston, MA, 02210","Aura","Chicken Skewers",8,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"83",83,"1 Seaport Ln Boston, MA, 02210","Aura","Chicken Parmesan Tenders",8,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"84",84,"1 Seaport Ln Boston, MA, 02210","Aura","Coconut Shrimp",8.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"85",85,"1 Seaport Ln Boston, MA, 02210","Aura","Quesadilla",8.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"86",86,"1 Seaport Ln Boston, MA, 02210","Aura","Aura Chop",8.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"87",87,"1 Seaport Ln Boston, MA, 02210","Aura","Caesar",7.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"88",88,"1 Seaport Ln Boston, MA, 02210","Aura","The Margherita Pizza",14.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"89",89,"1 Seaport Ln Boston, MA, 02210","Aura","The Callan Pizza",15,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"90",90,"1 Seaport Ln Boston, MA, 02210","Aura","The Gianna Pizza",15.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"91",91,"1 Seaport Ln Boston, MA, 02210","Aura","Creme Brulee",4.95,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"92",92,"1 Seaport Ln Boston, MA, 02210","Aura","Chocolate Passion",5.95,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"93",93,"1 Seaport Ln Boston, MA, 02210","Aura","Fresh Fruit Cobbler",2,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"94",94,"1 Seaport Ln Boston, MA, 02210","Aura","Filet Mignon",14.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"95",95,"1 Seaport Ln Boston, MA, 02210","Aura","Veggie Lasagna",14.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"96",96,"1 Seaport Ln Boston, MA, 02210","Aura","Mama Mias Chicken Pastry",16.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"97",97,"1 Seaport Ln Boston, MA, 02210","Aura","Chicken Parmagiana",16.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"98",98,"1 Seaport Ln Boston, MA, 02210","Aura","Teriyaki Glazed Salmon",16.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"99",99,"1 Seaport Ln Boston, MA, 02210","Aura","Pork Chop",17.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"100",100,"1 Seaport Ln Boston, MA, 02210","Aura","Chicken Picatta",15.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"101",101,"1 Seaport Ln Boston, MA, 02210","Aura","Avignon Omelet*",16,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"102",102,"1 Seaport Ln Boston, MA, 02210","Aura","Aura Breakfast Sammie*",10,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"103",103,"1 Seaport Ln Boston, MA, 02210","Aura","2 Eggs any Style*",12,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"104",104,"1 Seaport Ln Boston, MA, 02210","Aura","Create Your Own Omelet*",16,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"105",105,"1 Seaport Ln Boston, MA, 02210","Aura","Traditionalist*",14,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"106",106,"1 Seaport Ln Boston, MA, 02210","Aura","Lobster*",20,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"107",107,"1 Seaport Ln Boston, MA, 02210","Aura","Black Bean*",14,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"108",108,"1 Seaport Ln Boston, MA, 02210","Aura","Huevos Rancheros*",14,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"109",109,"1 Seaport Ln Boston, MA, 02210","Aura","Eggs Shakshuka*",15,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"110",110,"1 Seaport Ln Boston, MA, 02210","Aura","Tofu Scramble",15,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"111",111,"1 Seaport Ln Boston, MA, 02210","Aura","Bagel and Lox*",15,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"112",112,"1 Seaport Ln Boston, MA, 02210","Aura","Breakfast Buffet",23.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"113",113,"1 Seaport Ln Boston, MA, 02210","Aura","Overnight Oats",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"114",114,"1 Seaport Ln Boston, MA, 02210","Aura","Salad Greens",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"115",115,"1 Seaport Ln Boston, MA, 02210","Aura","Coco Flakes",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"116",116,"1 Seaport Ln Boston, MA, 02210","Aura","Berries",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"117",117,"1 Seaport Ln Boston, MA, 02210","Aura","Sun Butter",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"118",118,"1 Seaport Ln Boston, MA, 02210","Aura","Granola",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"119",119,"1 Seaport Ln Boston, MA, 02210","Aura","Almonds",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"120",120,"1 Seaport Ln Boston, MA, 02210","Aura","Brown Rice",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"121",121,"1 Seaport Ln Boston, MA, 02210","Aura","Barley",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"122",122,"1 Seaport Ln Boston, MA, 02210","Aura","Poached Eggs",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"123",123,"1 Seaport Ln Boston, MA, 02210","Aura","Sweet Potatoes",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"124",124,"1 Seaport Ln Boston, MA, 02210","Aura","Greens",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"125",125,"1 Seaport Ln Boston, MA, 02210","Aura","Mushrooms",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"126",126,"1 Seaport Ln Boston, MA, 02210","Aura","Roasted Vegetables",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"127",127,"1 Seaport Ln Boston, MA, 02210","Aura","Chick Peas",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"128",128,"1 Seaport Ln Boston, MA, 02210","Aura","Irish Steel Cut Oats",7,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"129",129,"1 Seaport Ln Boston, MA, 02210","Aura","Assorted Bagels",4,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"130",130,"1 Seaport Ln Boston, MA, 02210","Aura","Yogurt Parfait",10,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"131",131,"1 Seaport Ln Boston, MA, 02210","Aura","Seasonal Melon",8,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"132",132,"1 Seaport Ln Boston, MA, 02210","Aura","Mixed Berries",8,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"133",133,"1 Seaport Ln Boston, MA, 02210","Aura","Corn Flake Crusted French Toast",15,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"134",134,"1 Seaport Ln Boston, MA, 02210","Aura","Belgian Style Waffles",15,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"135",135,"1 Seaport Ln Boston, MA, 02210","Aura","Buttermilk Pancakes",14,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"136",136,"1 Seaport Ln Boston, MA, 02210","Aura","Traditional Bacon",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"137",137,"1 Seaport Ln Boston, MA, 02210","Aura","Ham",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"138",138,"1 Seaport Ln Boston, MA, 02210","Aura","Red Bliss Home Fries",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"139",139,"1 Seaport Ln Boston, MA, 02210","Aura","Chicken Apple Sausage",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"140",140,"1 Seaport Ln Boston, MA, 02210","Aura","Pork Breakfast Sausage",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"141",141,"1 Seaport Ln Boston, MA, 02210","Aura","Avocado",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"142",142,"1 Seaport Ln Boston, MA, 02210","Aura","Tomato",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"143",143,"1 Seaport Ln Boston, MA, 02210","Aura","Mixed Greens",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"144",144,"1 Seaport Ln Boston, MA, 02210","Aura","Coffee",3.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"145",145,"1 Seaport Ln Boston, MA, 02210","Aura","Decaffeinated Coffee",3.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"146",146,"1 Seaport Ln Boston, MA, 02210","Aura","Hot Chocolate",3.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"147",147,"1 Seaport Ln Boston, MA, 02210","Aura","Espresso",4.25,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"148",148,"1 Seaport Ln Boston, MA, 02210","Aura","Cappuccino",4.25,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"149",149,"1 Seaport Ln Boston, MA, 02210","Aura","Caffe Latte",4.25,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"150",150,"1 Seaport Ln Boston, MA, 02210","Aura","Mocha Latte",4.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"151",151,"1 Seaport Ln Boston, MA, 02210","Aura","Café Americano",4.25,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"152",152,"1 Seaport Ln Boston, MA, 02210","Aura","Iced Cappuccino",4.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"153",153,"1 Seaport Ln Boston, MA, 02210","Aura","Iced Latte",4.5,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"154",154,"1 Seaport Ln Boston, MA, 02210","Aura","Orange Juice",4.25,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"155",155,"1 Seaport Ln Boston, MA, 02210","Aura","Grapefruit Juice",4.25,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"156",156,"1 Seaport Ln Boston, MA, 02210","Aura","Cranberry Juice",4,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"157",157,"1 Seaport Ln Boston, MA, 02210","Aura","Apple Juice",4,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"158",158,"1 Seaport Ln Boston, MA, 02210","Aura","Pineapple Juice",4,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"159",159,"1 Seaport Ln Boston, MA, 02210","Aura","Tomato Juice and V8",4,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"160",160,"1 Seaport Ln Boston, MA, 02210","Aura","Earl Grey Tea",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"161",161,"1 Seaport Ln Boston, MA, 02210","Aura","English Breakfast Tea",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"162",162,"1 Seaport Ln Boston, MA, 02210","Aura","Jasmine Green",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"163",163,"1 Seaport Ln Boston, MA, 02210","Aura","White Ginger Pear",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"164",164,"1 Seaport Ln Boston, MA, 02210","Aura","Chamomile Citron",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"165",165,"1 Seaport Ln Boston, MA, 02210","Aura","Citrus Mint",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"166",166,"1 Seaport Ln Boston, MA, 02210","Aura","African Solstice",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"167",167,"1 Seaport Ln Boston, MA, 02210","Aura","Bombay Chai",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"168",168,"1 Seaport Ln Boston, MA, 02210","Aura","Black Tea",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"169",169,"1 Seaport Ln Boston, MA, 02210","Aura","White Tea",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"170",170,"1 Seaport Ln Boston, MA, 02210","Aura","Tea & Herb Supplement",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"171",171,"1 Seaport Ln Boston, MA, 02210","Aura","Green Tea",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"172",172,"1 Seaport Ln Boston, MA, 02210","Aura","Herbal Tea",NA,"American (New), Seafood",42.34924,-71.0415124,"Boston"
"173",173,"10 City Sq Charlestown, MA, 02129","Legal Osteria","New England Clam Chowder",7,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"174",174,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Sautéed Mussels",9,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"175",175,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Crispy Fried Oysters",9,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"176",176,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Affettati Misti",17,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"177",177,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Charred Octopus",10,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"178",178,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Seafood Antipasto",10.5,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"179",179,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Crispy Fried Calamari",10,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"180",180,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Crispy Eggplant Rollatini",8.5,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"181",181,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Warm Marinated Olives",3,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"182",182,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Salt Cod Crostini",5,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"183",183,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Chickpea & Shrimp Fritters",4,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"184",184,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Stracciatella Crostini",5,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"185",185,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Smoked Salmon",5,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"186",186,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Chickpea Spread",3.5,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"187",187,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Ricotta Fritters",3.5,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"188",188,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Raw Oyster",3,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"189",189,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Grilled Oyster",3,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"190",190,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Baked Oyster",4,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"191",191,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Baby Romaine",8,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"192",192,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Treviso Radicchio & Escarole",9,"Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
