"","Address","Restaurant","Cuisine","Latitude","Longitude","City"
"1","1 Charles St Boston, MA, 02108","Ostra","American (New), Seafood",42.3564175,-71.0694344,"Boston"
"33","1 Harborside Dr Boston, MA, 02128","Legal C Bar","Seafood",42.3634422,-71.0257812,"Boston"
"80","1 Seaport Ln Boston, MA, 02210","Aura","American (New), Seafood",42.34924,-71.0415124,"Boston"
"173","10 City Sq Charlestown, MA, 02129","Legal Osteria","Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"261","100 Huntington Ave Boston, MA, 02116","Legal Sea Foods","Seafood, New England",42.3471447,-71.0773777,"Boston"
"473","101 Harborside Dr Boston, MA, 02128","Harborside Grill and Patio","American (New), Seafood",42.3592641,-71.0272118,"Boston"
"524","106 Bunker Hill St Charlestown, MA, 02129","Kipo's","Pizza, Sandwiches, Seafood",42.3775161,-71.0586242,"Boston"
"610","135 Market St Brighton, MA, 02135","Stockyard","Seafood, Steak, American",42.3577819,-71.1485205,"Boston"
"634","1375 Washington Street Boston, MA, 02118","Boston Chops","Seafood, Steak",42.3415092,-71.0695165,"Boston"
"713","1401 Washington St Boston, MA, 02118","Morse Fish Company","Seafood",42.3412541,-71.0701926,"Boston"
"810","15 Fish Pier Rd Boston, MA, 02210","No Name Restaurant","Seafood, New England",42.3503378,-71.0380163,"Boston"
"864","15 Northern Ave Boston, MA, 02210","James Hook & Co Lobsters","Seafood",42.3549799,-71.0509465,"Boston"
"884","15 Union St Boston, MA, 02108","Blackstone Grill","Seafood, American, New England",42.36085,-71.056624,"Boston"
"936","1560 Vfw Pkwy West Roxbury, MA, 02132","Long John Silver's","Seafood, American",42.2668244,-71.1685472,"Boston"
"965","160 Milk Street Boston, MA, 02109","Central Wharf Co.","American (New), Seafood",42.358714,-71.052724,"Boston"
"997","1735 Centre St West Roxbury, MA, 02132","Himalayan Bistro","Seafood, Chicken",42.2874312,-71.1497486,"Boston"
"1280","1856 Centre St West Roxbury, MA, 02132","Phu-Ket Thai Restaurant","Thai, Seafood, Asian",42.2860147,-71.1545676,"Boston"
"1491","19 Union St Boston, MA, 02108","The Tap","Sandwiches, Seafood, Wings",42.3608802,-71.0567251,"Boston"
"1524","2 Northern Ave Boston, MA, 02210","The Daily Catch","Seafood",42.354338,-71.0479456,"Boston"
"1562","20 Charles St Boston, MA, 02114","The Upper Crust Pizzeria","Italian, Pizza, Seafood, Pasta",42.3565591,-71.0697892,"Boston"
"1629","200 Atlantic Ave Boston, MA, 02110","Tia's","Seafood",42.3603203,-71.0512967,"Boston"
"1679","220 Northern Ave Boston, MA, 02210","75 on Liberty Wharf","Seafood, American",42.3491069,-71.0388891,"Boston"
"1784","225 Northern Ave Boston, MA, 02210","LTK","American (New), Seafood, New England",42.3483314,-71.0385873,"Boston"
"1881","243 Dorchester St South Boston, MA, 02127","Alfredo's Italian Kitchen","Italian, Pizza, Seafood, American, Pasta, Wraps, Salads, Healthy, Subs",42.3328355,-71.0513289,"Boston"
"2053","25 Tyler St Boston, MA, 02111","GaGa Seafood","Chinese, Seafood",42.3506704,-71.0609622,"Boston"
"2203","255 State St Boston, MA, 02109","Legal Sea Foods","Seafood, New England",42.3593857,-71.0513553,"Boston"
"2415","26 Park Plz Boston, MA, 02116","Legal Sea Foods","Seafood, New England",42.3509603,-71.0677556,"Boston"
"2627","26 Porter St East Boston, MA, 02128","Off the Boat","Seafood, New England",42.3746613,-71.0378793,"Boston"
"2767","266 Commercial St Boston, MA, 02109","Four Winds Seafood Grille","Southwestern, Seafood",42.364317,-71.051351,"Boston"
"2797","27 Beach St Boston, MA, 02111","East Ocean City","Chinese, Seafood",42.3512603,-71.0618016,"Boston"
"3218","270 Adams St Dorchester, MA, 02122","Saigon Seafood Restaurant","Vietnamese, Seafood, Asian",42.2999728,-71.0585517,"Boston"
"3445","270 Northern Ave Boston, MA, 02210","Legal Harborside","Seafood",42.3486426,-71.0377109,"Boston"
"3611","272 Adams St Dorchester, MA, 02122","Brother's Crawfish","Cajun & Creole, Southern, Seafood",42.299952,-71.0579946,"Boston"
"3656","296 State St Boston, MA, 02109","Waterline","Seafood, American",42.3602243,-71.0508754,"Boston"
"3723","300 Northern Ave Boston, MA, 02210","Yankee Lobster","Seafood, New England",42.3479724,-71.0358488,"Boston"
"3829","313 Old Colony Ave South Boston, MA, 02127","Supreme House of Pizza","Pizza, Sandwiches, Seafood, Chicken, Pasta, Wraps, Subs",42.329517,-71.052818,"Boston"
"4006","323 Hanover St Boston, MA, 02113","The Daily Catch","Seafood",42.3640621,-71.0539724,"Boston"
"4044","340 N Market St Boston, MA, 02109","Durgin Park","Seafood, American, New England",42.3605442,-71.0552566,"Boston"
"4212","353 Cambridge St Allston, MA, 02134","Captain Fishbones","Burgers, Pizza, Seafood, Soups, Steak, American, Salads",42.356104,-71.1324579,"Boston"
"4340","383 Congress St Fort Point, MA, 02210","Row 34","Seafood",42.3495958,-71.0475283,"Boston"
"4357","40 Court St Boston, MA, 02108","Oceanaire","Seafood, New England",42.3588496,-71.0592945,"Boston"
"4504","4025 Washington St Roslindale, MA, 02131","Arboretum Pizza Grill","Italian, Mexican, Burgers, Pizza, Sandwiches, Seafood, American, Wings, Pasta, Salads, Grill, Healthy, Subs",42.2919422,-71.1225008,"Boston"
"4769","409 Chelsea St Boston, MA, 02128","Rincon Limeno Restaurant","Peruvian, Seafood, South American",42.3798529,-71.0268636,"Boston"
"4880","41 Union St Boston, MA, 02108","Union Oyster House","Seafood",42.3612512,-71.0569499,"Boston"
"4982","433 Faneuil St Brighton, MA, 02135","Thai North Catering","Noodles, Thai, Seafood, Soups, Salads, Vegetarian, Asian, Healthy",42.351266,-71.1683908,"Boston"
"5376","45 Beach St Boston, MA, 02111","Bubor Cha Cha","Chinese, Dim Sum, Seafood",42.3513171,-71.060926,"Boston"
"5549","467 W Broadway Boston, MA, 02127","Nick's House of Pizza & Seafood","Burgers, Pizza, Sandwiches, Seafood, Wraps",42.3356905,-71.0463159,"Boston"
"5717","49 Warren St Roxbury, MA, 02119","China Bo ($1 Chinese Rice/#1 Chinese Food)","Chinese, Japanese, Sushi, Noodles, Thai, Mexican, Ice Cream, Pizza, Seafood, Soups, Wings, Pasta, Desserts, Salads, Vegetarian, Asian, Healthy, Late Night, Subs",42.3291303,-71.0837041,"Boston"
"6144","5 High St Boston, MA, 02110","Fire House Seafood","Seafood",42.3531856,-71.0567199,"Boston"
"6172","5 Hudson St Boston, MA, 02111","New Jumbo Seafood","Chinese, Seafood",42.350931,-71.0601999,"Boston"
"6396","50 Dalton St Boston, MA, 02115","Jasper White's Summer Shack","Seafood",42.3469888,-71.085711,"Boston"
"6604","500 Commonwealth Ave Boston, MA, 02215","Island Creek Oyster Bar","Seafood, Gastropub, Local/Organic, New England",42.3486282,-71.0952228,"Boston"
"6729","510 Atlantic Ave Boston, MA, 02210","Miel","French, Seafood",42.3536908,-71.0519125,"Boston"
"6818","529 Washington St Brighton, MA, 02135","Hoshiya Sushi","Japanese, Sushi, Seafood, Asian, Lunch Specials",42.349175,-71.1629077,"Boston"
"6958","550 Tremont St Boston, MA, 02116","B&G Oysters","Seafood, New England",42.343915,-71.071329,"Boston"
"7027","558 Washington St Boston, MA, 02111","Legal Crossing","Seafood",42.3537039,-71.0622324,"Boston"
"7114","60 Long Wharf Boston, MA, 02110","Chart House","Seafood, Steak",42.3601671,-71.0495214,"Boston"
"7203","63 Salem St Boston, MA, 02113","Neptune Oyster","Seafood, New England",42.3632371,-71.055975,"Boston"
"7236","657 Washington St Dorchester Center, MA, 02124","Lorenz Island Kuisine","Indian, Noodles, Jamaican, Seafood, Caribbean, Chicken, Pasta, Vegetarian, Breakfast, Healthy",42.2887727,-71.07147,"Boston"
"7281","66 Beach St Boston, MA, 02111","New Golden Gate","Chinese, Seafood, Vegetarian",42.3514043,-71.0600374,"Boston"
"7467","686 Morton St Boston, MA, 02126","24 Hour Pizza Delivery","Italian, Pizza, Seafood, American, Wraps, Subs",42.2847472,-71.0920479,"Boston"
"7538","75 Chestnut St Boston, MA, 02108","75 Chestnut","American (New), Seafood, American",42.3569134,-71.0709941,"Boston"
