"","X","Address","Restaurant","Cuisine","Latitude","Longitude","City"
"1",1,"1 Charles St Boston, MA, 02108","Ostra","American (New), Seafood",42.3564175,-71.0694344,"Boston"
"2",33,"1 Harborside Dr Boston, MA, 02128","Legal C Bar","Seafood",42.3634422,-71.0257812,"Boston"
"3",80,"1 Seaport Ln Boston, MA, 02210","Aura","American (New), Seafood",42.34924,-71.0415124,"Boston"
"4",173,"10 City Sq Charlestown, MA, 02129","Legal Osteria","Italian, Seafood, Tapas",42.3723837,-71.0616159,"Boston"
"5",261,"100 Huntington Ave Boston, MA, 02116","Legal Sea Foods 100","Seafood, New England",42.3471447,-71.0773777,"Boston"
"6",473,"101 Harborside Dr Boston, MA, 02128","Harborside Grill and Patio","American (New), Seafood",42.3592641,-71.0272118,"Boston"
"7",524,"106 Bunker Hill St Charlestown, MA, 02129","Kipo's","Pizza, Sandwiches, Seafood",42.3775161,-71.0586242,"Boston"
"8",610,"135 Market St Brighton, MA, 02135","Stockyard","Seafood, Steak, American",42.3577819,-71.1485205,"Boston"
"9",634,"1375 Washington Street Boston, MA, 02118","Boston Chops","Seafood, Steak",42.3415092,-71.0695165,"Boston"
"10",713,"1401 Washington St Boston, MA, 02118","Morse Fish Company","Seafood",42.3412541,-71.0701926,"Boston"
"11",810,"15 Fish Pier Rd Boston, MA, 02210","No Name Restaurant","Seafood, New England",42.3503378,-71.0380163,"Boston"
"12",864,"15 Northern Ave Boston, MA, 02210","James Hook & Co Lobsters","Seafood",42.3549799,-71.0509465,"Boston"
"13",884,"15 Union St Boston, MA, 02108","Blackstone Grill","Seafood, American, New England",42.36085,-71.056624,"Boston"
"14",936,"1560 Vfw Pkwy West Roxbury, MA, 02132","Long John Silver's","Seafood, American",42.2668244,-71.1685472,"Boston"
"15",965,"160 Milk Street Boston, MA, 02109","Central Wharf Co.","American (New), Seafood",42.358714,-71.052724,"Boston"
"16",997,"1735 Centre St West Roxbury, MA, 02132","Himalayan Bistro","Seafood, Chicken",42.2874312,-71.1497486,"Boston"
"17",1280,"1856 Centre St West Roxbury, MA, 02132","Phu-Ket Thai Restaurant","Thai, Seafood, Asian",42.2860147,-71.1545676,"Boston"
"18",1491,"19 Union St Boston, MA, 02108","The Tap","Sandwiches, Seafood, Wings",42.3608802,-71.0567251,"Boston"
"19",1524,"2 Northern Ave Boston, MA, 02210","The Daily Catch 2","Seafood",42.354338,-71.0479456,"Boston"
"20",1562,"20 Charles St Boston, MA, 02114","The Upper Crust Pizzeria","Italian, Pizza, Seafood, Pasta",42.3565591,-71.0697892,"Boston"
"21",1629,"200 Atlantic Ave Boston, MA, 02110","Tia's","Seafood",42.3603203,-71.0512967,"Boston"
"22",1679,"220 Northern Ave Boston, MA, 02210","75 on Liberty Wharf","Seafood, American",42.3491069,-71.0388891,"Boston"
"23",1784,"225 Northern Ave Boston, MA, 02210","LTK","American (New), Seafood, New England",42.3483314,-71.0385873,"Boston"
"24",1881,"243 Dorchester St South Boston, MA, 02127","Alfredo's Italian Kitchen","Italian, Pizza, Seafood, American, Pasta, Wraps, Salads, Healthy, Subs",42.3328355,-71.0513289,"Boston"
"25",2053,"25 Tyler St Boston, MA, 02111","GaGa Seafood","Chinese, Seafood",42.3506704,-71.0609622,"Boston"
"26",2203,"255 State St Boston, MA, 02109","Legal Sea Foods 255","Seafood, New England",42.3593857,-71.0513553,"Boston"
"27",2415,"26 Park Plz Boston, MA, 02116","Legal Sea Foods 26","Seafood, New England",42.3509603,-71.0677556,"Boston"
"28",2627,"26 Porter St East Boston, MA, 02128","Off the Boat","Seafood, New England",42.3746613,-71.0378793,"Boston"
"29",2767,"266 Commercial St Boston, MA, 02109","Four Winds Seafood Grille","Southwestern, Seafood",42.364317,-71.051351,"Boston"
"30",2797,"27 Beach St Boston, MA, 02111","East Ocean City","Chinese, Seafood",42.3512603,-71.0618016,"Boston"
"31",3218,"270 Adams St Dorchester, MA, 02122","Saigon Seafood Restaurant","Vietnamese, Seafood, Asian",42.2999728,-71.0585517,"Boston"
"32",3445,"270 Northern Ave Boston, MA, 02210","Legal Harborside","Seafood",42.3486426,-71.0377109,"Boston"
"33",3611,"272 Adams St Dorchester, MA, 02122","Brother's Crawfish","Cajun & Creole, Southern, Seafood",42.299952,-71.0579946,"Boston"
"34",3656,"296 State St Boston, MA, 02109","Waterline","Seafood, American",42.3602243,-71.0508754,"Boston"
"35",3723,"300 Northern Ave Boston, MA, 02210","Yankee Lobster","Seafood, New England",42.3479724,-71.0358488,"Boston"
"36",3829,"313 Old Colony Ave South Boston, MA, 02127","Supreme House of Pizza","Pizza, Sandwiches, Seafood, Chicken, Pasta, Wraps, Subs",42.329517,-71.052818,"Boston"
"37",4006,"323 Hanover St Boston, MA, 02113","The Daily Catch 323","Seafood",42.3640621,-71.0539724,"Boston"
"38",4044,"340 N Market St Boston, MA, 02109","Durgin Park","Seafood, American, New England",42.3605442,-71.0552566,"Boston"
"39",4212,"353 Cambridge St Allston, MA, 02134","Captain Fishbones","Burgers, Pizza, Seafood, Soups, Steak, American, Salads",42.356104,-71.1324579,"Boston"
"40",4340,"383 Congress St Fort Point, MA, 02210","Row 34","Seafood",42.3495958,-71.0475283,"Boston"
"41",4357,"40 Court St Boston, MA, 02108","Oceanaire","Seafood, New England",42.3588496,-71.0592945,"Boston"
"42",4504,"4025 Washington St Roslindale, MA, 02131","Arboretum Pizza Grill","Italian, Mexican, Burgers, Pizza, Sandwiches, Seafood, American, Wings, Pasta, Salads, Grill, Healthy, Subs",42.2919422,-71.1225008,"Boston"
