"","Restaurant","Similar_Restaurant","Address","Cuisine","Latitude","Longitude","City"
"85","Rincon Limeno Restaurant","Saigon Seafood Restaurant, L'Espalier, The Tap, KO Pies, Tia's","409 Chelsea St Boston, MA, 02128","Peruvian, Seafood, South American",42.3798529,-71.0268636,"Boston"
"86","Row 34","Royal Roast Beef and Seafood, Captain Marden's Seafoods, Captain Fishbones, DiMillo's Floating Restaurant & Marina, Susan's Fish N Chips","383 Congress St Fort Point, MA, 02210","Seafood",42.3495958,-71.0475283,"Boston"
"87","Royal Roast Beef and Seafood","Kipo's, Captain Fishbones, Row 34, Captain Marden's Seafoods, DiMillo's Floating Restaurant & Marina","752 Bennington St East Boston, MA, 02128","Sandwiches, Seafood, New England",42.3855814,-71.0108213,"Boston"
"88","Saigon Seafood Restaurant","Rincon Limeno Restaurant, L'Espalier, The Tap, KO Pies, Tia's","270 Adams St Dorchester, MA, 02122","Vietnamese, Seafood, Asian",42.2999728,-71.0585517,"Boston"
"89","Stockyard","75 Chestnut, Legal Osteria, 75 on Liberty Wharf, Boston Chops, Abe & Louie's Steakhouse","135 Market St Brighton, MA, 02135","Seafood, Steak, American",42.3577819,-71.1485205,"Boston"
"90","Street & Co.","Central Wharf Co., Walter's, The Daily Catch 2, The Daily Catch 323, Old Port Sea Grill & Raw Bar","33 Wharf St Portland, ME, 04101","Seafood, American",43.6558841,-70.2540164,"Portland"
"91","Supreme House of Pizza","Arboretum Pizza Grill, Alfredo's Italian Kitchen, The Upper Crust Pizzeria, Nick's House of Pizza & Seafood, 24 Hour Pizza Delivery","313 Old Colony Ave South Boston, MA, 02127","Pizza, Sandwiches, Seafood, Chicken, Pasta, Wraps, Subs",42.329517,-71.052818,"Boston"
"92","Susan's Fish N Chips","Hyman's Seafood, Captain Marden's Seafoods, Captain Fishbones, DiMillo's Floating Restaurant & Marina, The Lobster Shack","1135 Forest Ave Portland, ME, 04103","Seafood",43.6860231,-70.2918727,"Portland"
"93","Thai North Catering","Himalayan Bistro, KO Pies, Tia's, The Tap, Fire House Seafood","433 Faneuil St Brighton, MA, 02135","Noodles, Thai, Seafood, Soups, Salads, Vegetarian, Asian, Healthy",42.351266,-71.1683908,"Boston"
"94","The Boathouse 10","Locklear's Fine Seafood, Anson, Hyman's Seafood, Blossom, Susan's Fish N Chips","10 Exchange St Charleston, SC, 29401","Seafood, American",32.7768389,-79.9261996,"Charleston"
"95","The Boathouse 38","Locklear's Fine Seafood, Anson, Hyman's Seafood, Blossom, Susan's Fish N Chips","38 Romney St Charleston, SC, 29403","Seafood, American",32.8082783,-79.944999,"Charleston"
"96","The Boathouse 549","Locklear's Fine Seafood, Anson, Hyman's Seafood, Blossom, Susan's Fish N Chips","549 E Bay St Charleston, SC, 29403","Seafood, American",32.7920002,-79.9314585,"Charleston"
"97","The Crab Shack 1901","Fleet Landing, Charleston Crab House 145, Charleston Crab House 41, A W Shuck's Seafood, Pearlz Oyster Bar 153, Pearlz Oyster Bar 9","1901 Ashley River Rd Charleston, SC, 29407","Seafood, American",32.8055362,-80.0222382,"Charleston"
"98","The Crab Shack 8486","Fleet Landing, Charleston Crab House 145, Charleston Crab House 41, A W Shuck's Seafood, Pearlz Oyster Bar 153, Pearlz Oyster Bar 9","8486 Dorchester Rd Charleston, SC, 29420","Seafood, American",32.9178954,-80.113,"Charleston"
"99","The Daily Catch 2","Old Port Sea Grill & Raw Bar, The Falmouth Sea Grill, Walter's, Union Oyster House, Waterline","2 Northern Ave Boston, MA, 02210","Seafood",42.354338,-71.0479456,"Boston"
"100","The Daily Catch 323","Old Port Sea Grill & Raw Bar, The Falmouth Sea Grill, Walter's, Union Oyster House, Waterline","323 Hanover St Boston, MA, 02113","Seafood",42.3640621,-71.0539724,"Boston"
"101","The Falmouth Sea Grill","Old Port Sea Grill & Raw Bar, The Daily Catch 2, The Daily Catch 323, Waterline, Union Oyster House","215 Foreside Rd Falmouth, ME, 04105","Seafood, American",43.7288958,-70.2093851,"Portland"
"102","The Lobster Shack","J's Oyster, Weathervane Seafood Restaurant, Gilbert's Chowder House, Boston Sail Loft, Bubba Gump Shrimp Co.","225 Two Lights Rd Cape Elizabeth, ME, 04107","Seafood, American",43.564353,-70.198458,"Portland"
"103","The Tap","Atlantic Fish Company, Tia's, KO Pies, L'Espalier, Barking Crab","19 Union St Boston, MA, 02108","Sandwiches, Seafood, Wings",42.3608802,-71.0567251,"Boston"
"104","The Upper Crust Pizzeria","Alfredo's Italian Kitchen, Supreme House of Pizza, Arboretum Pizza Grill, Nick's House of Pizza & Seafood, 24 Hour Pizza Delivery","20 Charles St Boston, MA, 02114","Italian, Pizza, Seafood, Pasta",42.3565591,-71.0697892,"Boston"
"105","Tia's","Atlantic Fish Company, James Hook & Co Lobsters, Legal C Bar, Barking Crab, The Tap","200 Atlantic Ave Boston, MA, 02110","Seafood",42.3603203,-71.0512967,"Boston"
"106","Towne Stove and Spirits","Stockyard, Chart House, 75 Chestnut, Legal Osteria, 75 on Liberty Wharf","900 Boylston St Boston, MA, 02115","American (New), Seafood, Eclectic & International, Cocktails",42.3475962,-71.0851772,"Boston"
"107","Union Oyster House","Waterline, The Falmouth Sea Grill, Durgin Park, Old Port Sea Grill & Raw Bar, The Daily Catch 2, The Daily Catch 323","41 Union St Boston, MA, 02108","Seafood",42.3612512,-71.0569499,"Boston"
"108","Walter's","The Daily Catch 2, The Daily Catch 323, Old Port Sea Grill & Raw Bar, The Falmouth Sea Grill, Waterline","15 Exchange St Portland, ME, 04101","Seafood, American",43.6569016,-70.2534878,"Portland"
"109","Waterline","Union Oyster House, The Falmouth Sea Grill, Durgin Park, Old Port Sea Grill & Raw Bar, The Daily Catch 2, The Daily Catch 323","296 State St Boston, MA, 02109","Seafood, American",42.3602243,-71.0508754,"Boston"
"110","Weathervane Seafood Restaurant","J's Oyster, Gilbert's Chowder House, Boston Sail Loft, Bubba Gump Shrimp Co., Off the Boat","380 Gorham Rd Portland, ME, 04106","Burgers, Sandwiches, Seafood, American, Pasta, Salads",43.6361051,-70.3319528,"Portland"
"111","Yankee Lobster","Morse Fish Company, Long John Silver's, Huff's Seafood, Coast, Fire House Seafood","300 Northern Ave Boston, MA, 02210","Seafood, New England",42.3479724,-71.0358488,"Boston"
